Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nepal,NPL,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
